theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,importance_surface_downwelling_longwave_flux_in_air,importance_air_temperature,importance_surface_downwelling_shortwave_flux_in_air,importance_northward_wind,importance_precipitation_flux,importance_relative_humidity,importance_eastward_wind,importance_air_pressure
phenology,STEI,991,10,gcc_90,0.007398429995515191,2,4,0.2763350424650878,0.3970536870518332,0.25283075048843023,0.037905108399335176,0.05674339113097351,0.06579874816881884,0.051296808852148636,0.061770847457737685
phenology,STER,963,10,gcc_90,0.004992785366509975,5,3,0.08518506558215463,0.03411356123420665,0.06625462953001249,0.015683911847290576,0.018690617330583994,0.02472902842549019,0.02526610409863744,0.01788683420502029
phenology,TALL,987,10,gcc_90,0.0020182638204170635,6,12,0.007611495804498219,0.05221540358619945,0.00872918333236311,0.0016116729173580237,0.0012156593930147323,0.001760336008774,0.0034713201587770136,0.0012546300721664992
phenology,TEAK,608,10,gcc_90,0.001699807840115305,5,10,0.004082238945783778,0.011407792250298414,0.0034113048704339103,0.0015562687038459227,0.0020736320879495857,0.002556812851940025,0.0014768340732129936,0.001064675504478771
phenology,TOOL,622,10,gcc_90,0.005302086607351704,4,7,0.048049147194686,0.06989119848353138,0.013328144920468304,0.011167837871889049,0.013020158086178645,0.010568873949776911,0.007758490242078596,0.009609047891296858
phenology,TREE,992,10,gcc_90,0.008837426824136772,3,5,0.27201506474205195,0.560641108304377,0.2865573452231732,0.03854848850747819,0.06384436733211096,0.07206154021916207,0.05760162018900367,0.06524310933120199
phenology,UKFS,989,10,gcc_90,0.006449112683869007,5,6,0.4551181206371152,0.4841768777349148,0.17490522081920123,0.020528896734302606,0.03554942729049401,0.0509850197200107,0.06449172989451063,0.04037423492489447
phenology,UNDE,960,10,gcc_90,0.007727176811572945,7,8,0.08685425036940712,0.743731461251121,0.12428820526917576,0.023986498813727143,0.04562129983553515,0.02316410123618046,0.044769175503991045,0.04247597944267391
phenology,WOOD,996,10,gcc_90,0.005917023413352846,3,13,0.06050023033028561,0.08548244315099149,0.04783065479701806,0.010281154993669146,0.015547275820729858,0.03729435248723403,0.00771323948521183,0.009304975868540474
phenology,WREF,992,10,gcc_90,0.002140177670163503,3,7,0.00685695314335317,0.04633884862085201,0.02088940651190754,0.007415289721367661,0.005276215050700083,0.013281564491929833,0.004863799376270572,0.0057951435062636196
phenology,YELL,968,10,gcc_90,0.0012051317451656723,3,9,0.011452491570563453,0.024854872802748028,0.004478170899088044,7.245850307542607e-4,0.0011184376763965314,0.00858526997595764,8.467630250479705e-4,0.0024813683698934703
phenology,ABBY,989,10,rcc_90,0.005333316887586198,7,3,0.07217584116355315,0.06238760684848164,0.14253872237999804,0.024909682821697598,0.019504118625605988,0.02314206668629368,0.02575927794520761,0.029019993907709558
phenology,BARR,567,10,rcc_90,0.010530211864381618,4,4,0.4088389617417538,1.0989246204442884,0.12668607989778008,0.03950790845243724,0.05821986413062527,0.04648137183783395,0.046436413006201036,0.08096371432881463
phenology,BART,990,10,rcc_90,0.012344516997858374,7,8,0.10355628860499386,0.41914413833339415,0.21074051393040488,0.08883380468627826,0.11652646217209987,0.07272028253373534,0.06682384555585306,0.06144903336402786
phenology,BLAN,993,10,rcc_90,0.008137953238353694,4,11,0.0657419972546796,0.1656309359088286,0.07863635326599575,0.021825491424870003,0.037814876181660635,0.05131198680125662,0.03362155444627815,0.023415381937210867
phenology,BONA,671,10,rcc_90,0.0062438461102600875,3,4,0.0643131269773074,0.1661058183557456,0.07312493307589064,0.0217639467640255,0.029479091418880755,0.09769568949737781,0.020118063034613193,0.01857046098293855
phenology,CLBJ,990,10,rcc_90,0.005330147805336529,6,3,0.08925471666368844,0.052040562136440406,0.09512676436738497,0.02584353783910091,0.024237076501354947,0.03815502246793475,0.024146247746573684,0.025879551011263432
phenology,CPER,989,10,rcc_90,0.014614328630168207,4,9,0.18205154872038112,0.3376724168568777,0.13770697641423488,0.10254689805190882,0.08647415145735088,0.5294648230729762,0.07669329306099318,0.12610027137669788
phenology,DCFS,992,10,rcc_90,0.011787026614503215,4,7,0.2627098731516302,1.1445769255753286,0.12404807400313665,0.07205357279315668,0.07411015398759292,1.0390130627353817,0.061687553065773996,0.09402345387775075
phenology,DEJU,727,10,rcc_90,0.006415465419605149,3,9,0.03163641884577574,0.1149310397591644,0.07578737681453428,0.01708993615223856,0.021965226858492982,0.06897876948645132,0.019598241256331823,0.010469398471500675
phenology,DELA,992,10,rcc_90,0.0075209147059015725,5,7,0.11343216808637771,0.1960102037422475,0.14541735707186715,0.03460699405743349,0.04180610005518018,0.04137980783999139,0.055619882992036955,0.042016808002252444
phenology,DSNY,991,10,rcc_90,0.0064721746711525,3,3,0.05606615942151528,0.07624561160812825,0.14731654252029586,0.03780473974950008,0.041021191366251944,0.04219979416274759,0.043245537742807864,0.03334346858951965
phenology,GRSM,995,10,rcc_90,0.008867179926516536,4,3,0.20337764263078437,0.34949773597432165,0.1937598536483132,0.07199884817466753,0.10424219741547804,0.11897541210910365,0.08849116348999916,0.06503699459357966
phenology,GUAN,973,10,rcc_90,0.00530865994559253,3,7,0.0228651800805496,0.030555587730637466,0.04139641140952136,0.015842938659793523,0.017766868625944333,0.040845059350270066,0.018500387542193977,0.030246562804446285
phenology,HARV,976,10,rcc_90,0.011873470723277527,4,4,0.17860840939237801,0.3701670735789951,0.20753375418228628,0.08958528740597461,0.10947844847316518,0.2037009821471673,0.09275907161174544,0.10857120779901613
phenology,HEAL,718,10,rcc_90,0.013169404403688677,8,4,0.2572640742039657,3.6296422603201877,0.30959756320044995,0.121250774204827,0.053899901906635926,0.060547200213709594,0.11289930292771502,0.11057719589008347
phenology,JERC,991,10,rcc_90,0.005416400277667087,4,10,0.050436905040436554,0.02769112166861582,0.05676380486379138,0.013154979446477597,0.03353592243211878,0.018510343769380398,0.012474891701188274,0.016181486266212075
phenology,JORN,989,10,rcc_90,0.0057505887713307285,3,4,0.035622848035035744,0.037511443857796846,0.030997715809626427,0.025808156717960055,0.016521366946119328,0.02565827167177558,0.024023941742087142,0.025256328109446717
phenology,KONA,989,10,rcc_90,0.014478136266202927,3,8,0.1352803845117667,0.2478038286662965,0.1459667382817349,0.08637710186492388,0.10447745246275102,0.22918592041874833,0.09965799661194336,0.09628027772387361
phenology,KONZ,987,10,rcc_90,0.009973519369100212,6,5,0.6675706522613427,0.2753829755216982,0.2951459501074706,0.0696169054809369,0.08046474424108228,0.11369959798128007,0.08518618390905165,0.062395055968245274
phenology,LAJA,962,10,rcc_90,0.005394920810181577,3,3,0.0505436354603479,0.057466491894349665,0.039121639101906545,0.02422901402717064,0.03147809487284154,0.030537773264406057,0.022399648623950146,0.04672800881112251
phenology,LENO,976,10,rcc_90,0.008861500527041518,5,10,0.09722607465526123,0.21797579849625695,0.1228079120497007,0.03039928784169802,0.027280554716116647,0.042232609667754724,0.06228684752493516,0.034803179729040574
phenology,MLBS,985,10,rcc_90,0.010456825142968546,4,8,0.09958570231013068,0.2037521115141345,0.16521919910970723,0.05567375716605853,0.07953401655252461,0.08146798079400411,0.051845232895286975,0.061863746027414034
phenology,MOAB,979,10,rcc_90,0.012877118969575416,4,5,0.2126774941067259,0.9105756982354947,0.2594873549419445,0.12580932706381429,0.09893568080249977,0.6756901428128311,0.11795829762057333,0.14872296119535597
phenology,NIWO,984,10,rcc_90,0.01025632016141263,4,5,0.2915616910966643,1.0673672465546198,0.2571487920848568,0.0795861456885696,0.11953328783221528,0.3193161443540027,0.07831345107711858,0.49453150414563135
phenology,NOGP,988,10,rcc_90,0.01263765007408835,4,6,0.26331450342461965,0.6333242238055081,0.16516214852818625,0.10853623174792837,0.09680477069721147,1.2215706923209362,0.07519298337786513,0.09659740328141238
phenology,OAES,942,10,rcc_90,0.009789722583228482,4,8,0.08540520079825133,0.07480258507552001,0.1178597256939796,0.047219932164107956,0.0758820000731457,0.11081523327225434,0.04174648819826996,0.04199875783276559
phenology,ONAQ,962,10,rcc_90,0.00975815533560752,3,8,0.12572639164746321,0.509684961633736,0.1581178397628552,0.06697188741835365,0.052765111712776765,0.38163750480532865,0.0647335932352256,0.07873276552616447
phenology,ORNL,953,10,rcc_90,0.008850628659094646,4,6,0.09604497620557156,0.23858983194984668,0.18294021614237443,0.04525649948945481,0.04557188784866343,0.07617366755829415,0.037116634600555996,0.05905642507723218
