theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty
phenology,BLAN,931,10,gcc_90,0.024675754064702578,3,4.269638869462361e-8
phenology,BONA,615,10,gcc_90,0.019928384551842343,6,5.35641062413274e-7
phenology,CLBJ,928,10,gcc_90,0.020921970318805872,3,3.196514264242334e-8
phenology,CPER,927,10,gcc_90,0.016053370239630018,3,0.07918585582876636
phenology,DCFS,930,10,gcc_90,0.01975176521858284,3,8.328829327205956e-10
phenology,DEJU,665,10,gcc_90,0.015373036206989791,5,0.022611427100488662
phenology,DELA,933,10,gcc_90,0.01868739601446282,3,0.007336767638639513
phenology,DSNY,929,10,gcc_90,0.030723693970065528,3,4.385860043525681e-6
phenology,GRSM,933,10,gcc_90,0.029623339300776815,3,4.5199035702066476e-10
phenology,GUAN,911,10,gcc_90,0.02000613950069488,3,1.6435576222443931e-10
phenology,HARV,914,10,gcc_90,0.03398142415859542,3,0.001114449659282744
phenology,HEAL,656,10,gcc_90,0.021975293122842583,5,2.0582405116519295e-4
phenology,JERC,929,10,gcc_90,0.012071855919650307,3,8.447016739152779e-4
phenology,JORN,932,10,gcc_90,0.017668186424343205,3,0.032706823212598816
phenology,KONA,927,10,gcc_90,0.028775850809494706,3,7.66632684534055e-9
phenology,KONZ,925,10,gcc_90,0.02847718013118559,3,1.182508871679819e-5
phenology,LAJA,900,10,gcc_90,0.019792032685385416,3,8.867365663897635e-8
phenology,LENO,914,10,gcc_90,0.021788516261798695,3,0.0058270278808528805
phenology,MLBS,923,10,gcc_90,0.02048339227628137,3,1.126310194715133e-10
phenology,MOAB,917,10,gcc_90,0.01348164121975629,3,9.731735661970802e-4
phenology,NIWO,922,10,gcc_90,0.023412981859561616,3,4.2295959448948094e-10
phenology,NOGP,926,10,gcc_90,0.01754238820698893,3,0.5924528429983784
phenology,OAES,880,10,gcc_90,0.017278192289935126,3,0.04558189771567318
phenology,ONAQ,900,10,gcc_90,0.014273222208313239,3,0.06872969284202754
phenology,ORNL,905,10,gcc_90,0.028616636656435677,3,1.2865999483370782e-10
phenology,OSBS,930,10,gcc_90,0.012721938298244894,3,0.008476421114455278
phenology,PUUM,863,10,gcc_90,0.01134994343143063,3,0.003029335253966028
phenology,RMNP,897,10,gcc_90,0.01601802443210982,3,6.857389341753527e-5
phenology,SCBI,929,10,gcc_90,0.029823944875902657,3,6.6888747097541255e-9
phenology,SERC,932,10,gcc_90,0.023881190547855913,3,1.918005926000746e-8
phenology,SJER,919,10,gcc_90,0.008280789107600254,3,2.3001162504498247e-9
phenology,SOAP,695,10,gcc_90,0.028287410317272027,6,3.104003715505694e-4
phenology,SRER,928,10,gcc_90,0.022321939979414215,3,1.1518316480099903e-6
