theme,site,n_obs,n_vfolds,target_variable,rmse,hidden_units,penalty,last_targets_date
phenology,MOAB,811,10,gcc_90,0.017267459313116084,4,0.03223641276865119,2022-12-31
phenology,NIWO,817,10,gcc_90,0.016143391801333017,4,1.8987360597242566e-8,2022-12-31
phenology,NOGP,820,10,gcc_90,0.018448923367765935,4,0.03902316665403716,2022-12-31
phenology,OAES,776,10,gcc_90,0.018091291851858367,4,0.5626384800832539,2022-12-31
phenology,ONAQ,794,10,gcc_90,0.010363423173764362,4,0.05492246694571984,2022-12-31
phenology,ORNL,802,10,gcc_90,0.022025773360139063,4,6.473810066433091e-4,2022-12-31
phenology,OSBS,824,10,gcc_90,0.022357175109079856,4,7.209106476273656e-8,2022-12-31
phenology,PUUM,757,10,gcc_90,0.013939163591184236,4,1.0735118956339494e-5,2022-12-31
phenology,RMNP,793,10,gcc_90,0.018892102323143208,4,9.914553403163816e-10,2022-12-31
phenology,SCBI,823,10,gcc_90,0.03013368034916596,4,0.6488988940625126,2022-12-31
phenology,SERC,824,10,gcc_90,0.027371814121260638,4,5.791650982753483e-6,2022-12-31
phenology,SJER,813,10,gcc_90,0.01799396902373783,4,7.192553667203865e-10,2022-12-31
phenology,SOAP,695,10,gcc_90,0.02003827878102821,5,2.895758471238463e-6,2022-12-31
phenology,SRER,822,10,gcc_90,0.02585566897313777,4,5.4938780300171436e-5,2022-12-31
phenology,STEI,823,10,gcc_90,0.02619832819864867,4,0.3640551982834572,2022-12-31
phenology,STER,797,10,gcc_90,0.01835033655104236,4,7.103433431104112e-6,2022-12-31
phenology,TALL,822,10,gcc_90,0.019212083436351703,4,6.867569431582632e-10,2022-12-31
phenology,TEAK,795,10,gcc_90,0.01601854469399288,4,1.26860043717774e-6,2022-12-31
phenology,TOOL,505,10,gcc_90,0.026834628984245275,9,6.1310178484381e-4,2022-12-31
phenology,TREE,824,10,gcc_90,0.027004969631928732,4,0.0014982383322053544,2022-12-31
phenology,UKFS,821,10,gcc_90,0.02620223256338512,4,0.14551908130642038,2022-12-31
phenology,UNDE,793,10,gcc_90,0.03235787576597364,4,6.932155419922345e-10,2022-12-31
phenology,WOOD,828,10,gcc_90,0.01909608243497494,4,3.957281001408304e-10,2022-12-31
phenology,WREF,824,10,gcc_90,0.023565204172576324,4,1.7294390687621563e-8,2022-12-31
phenology,YELL,810,10,gcc_90,0.00781039075276671,4,0.0820525519289915,2022-12-31
phenology,ABBY,821,10,rcc_90,0.02587155086504236,4,2.1830787139907022e-10,2022-12-31
phenology,BARR,464,10,rcc_90,0.05271362868998099,10,1.0490211666646796e-9,2022-12-31
phenology,BART,822,10,rcc_90,0.03983470138298628,4,0.011417217909426312,2022-12-31
phenology,BLAN,828,10,rcc_90,0.029409554986757472,4,1.3647177246823648e-7,2022-12-31
phenology,BONA,547,10,rcc_90,0.03438378101603112,7,0.0822747941990392,2022-12-31
phenology,CLBJ,824,10,rcc_90,0.020643531139795165,4,2.0697090752256597e-4,2022-12-31
phenology,CPER,821,10,rcc_90,0.03955408482358949,4,7.90164732553799e-6,2022-12-31
phenology,DCFS,824,10,rcc_90,0.03775755394098971,4,1.0358920466941003e-5,2022-12-31
phenology,DEJU,593,10,rcc_90,0.024668005430071898,6,7.066383034958945e-5,2022-12-31
phenology,DELA,827,10,rcc_90,0.027297836230137353,4,1.249191733596484e-7,2022-12-31
