theme,site,n_obs,n_vfolds,target_variable,rmse,mtry,min_n,last_targets_date,importance_surface_downwelling_shortwave_flux_in_air,importance_air_temperature,importance_relative_humidity,importance_surface_downwelling_longwave_flux_in_air,importance_northward_wind,importance_eastward_wind,importance_air_pressure,importance_precipitation_flux
phenology,NIWO,817,10,gcc_90,0.00194259,3,4,12/31/2022,0.050454088,0.036696935,0.00737324,0.003491678,0.004888948,0.005474108,0.001950731,0.020416218720826423
phenology,NOGP,820,10,gcc_90,0.005805196,8,15,12/31/2022,0.04167628,0.31690726010187587,0.032390313309743776,0.007248638,0.005775077,0.023007052545239926,0.005724863,0.011130232698074607
phenology,OAES,776,10,gcc_90,0.004356687,8,7,12/31/2022,0.22864060837046635,0.009937761,0.037520734,0.008666914,0.005197774,0.017068723274739725,0.010453067930844372,0.011943012566955888
phenology,ONAQ,794,10,gcc_90,0.001872777,2,15,12/31/2022,0.001749634,0.002969862,0.004111417,7.869622852437587e-4,4.3714756883503456e-4,0.001620168,6.391856724613243e-4,9.539214422356879e-4
phenology,ORNL,802,10,gcc_90,0.007268746,3,5,12/31/2022,0.2065127768085045,0.46505673547885357,0.289016776,0.029988549796027605,0.032203944,0.037099673,0.039921435,0.042430862
phenology,OSBS,824,10,gcc_90,0.002065774,5,6,12/31/2022,0.009289464,0.023539727974242485,0.00799262,0.002459553,0.001824447,0.00319091,0.003429684,0.002664465
phenology,PUUM,757,10,gcc_90,0.002217332,3,4,12/31/2022,0.003152551,0.004960224,0.003168126,0.002580954,0.002716389,0.002708178,0.002980964,0.002706877
phenology,RMNP,793,10,gcc_90,0.003048492,5,5,12/31/2022,0.082367376,0.20581250584780553,0.011894119,0.006890723,0.010356408389008809,0.021055799438112213,0.004580698,0.011922375384919276
phenology,SCBI,823,10,gcc_90,0.010403464,5,12,12/31/2022,0.2809629792571274,0.6888008329549848,0.21644407989513642,0.024884167574618463,0.026920617,0.030984617239847502,0.054270132,0.028417402163045138
phenology,SERC,826,10,gcc_90,0.007382382,4,5,12/31/2022,0.20694468914900208,0.483173605,0.3018521577512171,0.04810282,0.032533579,0.034811581,0.035546211,0.033940729
phenology,SJER,813,10,gcc_90,0.001323051,4,4,12/31/2022,0.002542488,0.001511466,0.003354641,0.00164185,0.001618019,0.001752586,0.001353348,0.001507468
phenology,SOAP,695,10,gcc_90,0.001581991,4,4,12/31/2022,0.011216749720449361,0.018786681,0.022574913396527625,0.009474306,0.002694652,0.002580621,0.002001806,0.003096383
phenology,SRER,822,10,gcc_90,0.007342742,4,9,12/31/2022,0.13963768370737564,0.065192229,0.078228165,0.024999545656183036,0.023341504415366407,0.073968018,0.015827758055262493,0.024501748997543336
phenology,STEI,823,10,gcc_90,0.008103717,3,6,12/31/2022,0.22627364455913096,0.371795325,0.1871280779953878,0.02517237,0.048937161,0.034686704,0.031960715,0.047766304
